timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1664122710003,148,HTTP Request,200,OK,Thread Group 1-1,text,true,,24750,122,8,8,http://10.105.2.233/moodle/,132,0,1
1664122710085,98,HTTP Request,200,OK,Thread Group 1-5,text,true,,24750,122,10,10,http://10.105.2.233/moodle/,70,0,1
1664122710143,50,HTTP Request,200,OK,Thread Group 1-8,text,true,,24750,122,10,10,http://10.105.2.233/moodle/,36,0,1
1664122710024,169,HTTP Request,200,OK,Thread Group 1-2,text,true,,24750,122,10,10,http://10.105.2.233/moodle/,132,0,1
1664122710044,150,HTTP Request,200,OK,Thread Group 1-3,text,true,,24750,122,10,10,http://10.105.2.233/moodle/,122,0,1
1664122710063,131,HTTP Request,200,OK,Thread Group 1-4,text,true,,24750,122,10,10,http://10.105.2.233/moodle/,104,0,1
1664122710111,83,HTTP Request,200,OK,Thread Group 1-6,text,true,,24750,122,10,10,http://10.105.2.233/moodle/,57,0,1
1664122710123,72,HTTP Request,200,OK,Thread Group 1-7,text,true,,24750,122,10,10,http://10.105.2.233/moodle/,52,0,1
1664122710151,90,HTTP Request,200,OK,Thread Group 1-1,text,true,,24750,122,12,12,http://10.105.2.233/moodle/,51,0,0
1664122710163,82,HTTP Request,200,OK,Thread Group 1-9,text,true,,24750,122,13,13,http://10.105.2.233/moodle/,54,0,1
1664122710183,62,HTTP Request,200,OK,Thread Group 1-10,text,true,,24750,122,13,13,http://10.105.2.233/moodle/,37,0,0
1664122710193,56,HTTP Request,200,OK,Thread Group 1-2,text,true,,24750,122,13,13,http://10.105.2.233/moodle/,31,0,0
1664122710183,76,HTTP Request,200,OK,Thread Group 1-5,text,true,,24750,122,13,13,http://10.105.2.233/moodle/,35,0,0
1664122710193,68,HTTP Request,200,OK,Thread Group 1-8,text,true,,24750,122,13,13,http://10.105.2.233/moodle/,56,0,0
1664122710203,107,HTTP Request,200,OK,Thread Group 1-11,text,true,,24750,122,16,16,http://10.105.2.233/moodle/,52,0,0
1664122710195,117,HTTP Request,200,OK,Thread Group 1-7,text,true,,24750,122,16,16,http://10.105.2.233/moodle/,75,0,0
1664122710194,121,HTTP Request,200,OK,Thread Group 1-4,text,true,,24750,122,16,16,http://10.105.2.233/moodle/,77,0,0
1664122710223,93,HTTP Request,200,OK,Thread Group 1-12,text,true,,24750,122,16,16,http://10.105.2.233/moodle/,43,0,0
1664122710194,127,HTTP Request,200,OK,Thread Group 1-3,text,true,,24750,122,16,16,http://10.105.2.233/moodle/,82,0,0
1664122710195,126,HTTP Request,200,OK,Thread Group 1-6,text,true,,24750,122,16,16,http://10.105.2.233/moodle/,78,0,0
