timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1664365981517,135,HTTP Request,200,OK,Thread Group 1-1,text,true,,24750,122,28,28,http://10.105.2.233/moodle/,70,0,1
1664365981539,230,HTTP Request,200,OK,Thread Group 1-5,text,true,,24750,122,50,50,http://10.105.2.233/moodle/,80,0,2
1664365981523,248,HTTP Request,200,OK,Thread Group 1-2,text,true,,24750,122,50,50,http://10.105.2.233/moodle/,101,0,1
1664365981527,273,HTTP Request,200,OK,Thread Group 1-3,text,true,,24750,122,54,54,http://10.105.2.233/moodle/,94,0,0
1664365981572,272,HTTP Request,200,OK,Thread Group 1-12,text,true,,24750,122,62,62,http://10.105.2.233/moodle/,148,0,0
1664365981532,313,HTTP Request,200,OK,Thread Group 1-4,text,true,,24750,122,61,61,http://10.105.2.233/moodle/,102,0,1
1664365981551,299,HTTP Request,200,OK,Thread Group 1-8,text,true,,24750,122,61,61,http://10.105.2.233/moodle/,180,0,1
1664365981547,303,HTTP Request,200,OK,Thread Group 1-7,text,true,,24750,122,60,60,http://10.105.2.233/moodle/,172,0,0
1664365981562,351,HTTP Request,200,OK,Thread Group 1-10,text,true,,24750,122,72,72,http://10.105.2.233/moodle/,290,0,0
1664365981709,205,HTTP Request,200,OK,Thread Group 1-39,text,true,,24750,122,71,71,http://10.105.2.233/moodle/,145,0,0
1664365981616,300,HTTP Request,200,OK,Thread Group 1-21,text,true,,24750,122,70,70,http://10.105.2.233/moodle/,191,0,1
1664365981612,304,HTTP Request,200,OK,Thread Group 1-20,text,true,,24750,122,69,69,http://10.105.2.233/moodle/,191,0,1
1664365981597,319,HTTP Request,200,OK,Thread Group 1-17,text,true,,24750,122,68,68,http://10.105.2.233/moodle/,258,0,1
1664365981626,291,HTTP Request,200,OK,Thread Group 1-23,text,true,,24750,122,68,68,http://10.105.2.233/moodle/,241,0,1
1664365981684,233,HTTP Request,200,OK,Thread Group 1-34,text,true,,24750,122,67,67,http://10.105.2.233/moodle/,147,0,1
1664365981637,281,HTTP Request,200,OK,Thread Group 1-25,text,true,,24750,122,66,66,http://10.105.2.233/moodle/,227,0,1
1664365981592,331,HTTP Request,200,OK,Thread Group 1-16,text,true,,24750,122,66,66,http://10.105.2.233/moodle/,274,0,0
1664365981587,348,HTTP Request,200,OK,Thread Group 1-15,text,true,,24750,122,67,67,http://10.105.2.233/moodle/,276,0,1
1664365981582,371,HTTP Request,200,OK,Thread Group 1-14,text,true,,24750,122,70,70,http://10.105.2.233/moodle/,292,0,0
1664365981541,431,HTTP Request,200,OK,Thread Group 1-6,text,true,,24750,122,73,73,http://10.105.2.233/moodle/,337,0,1
1664365981608,370,HTTP Request,200,OK,Thread Group 1-19,text,true,,24750,122,73,73,http://10.105.2.233/moodle/,298,0,1
1664365981556,436,HTTP Request,200,OK,Thread Group 1-9,text,true,,24750,122,75,75,http://10.105.2.233/moodle/,327,0,1
1664365981692,429,HTTP Request,200,OK,Thread Group 1-36,text,true,,24750,122,99,99,http://10.105.2.233/moodle/,301,0,1
1664365981722,400,HTTP Request,200,OK,Thread Group 1-42,text,true,,24750,122,99,99,http://10.105.2.233/moodle/,325,0,2
1664365981907,215,HTTP Request,200,OK,Thread Group 1-79,text,true,,24750,122,98,98,http://10.105.2.233/moodle/,152,0,2
1664365981634,489,HTTP Request,200,OK,Thread Group 1-24,text,true,,24750,122,97,97,http://10.105.2.233/moodle/,261,0,0
1664365981812,311,HTTP Request,200,OK,Thread Group 1-60,text,true,,24750,122,96,96,http://10.105.2.233/moodle/,211,0,1
1664365981652,472,HTTP Request,200,OK,Thread Group 1-28,text,true,,24750,122,95,95,http://10.105.2.233/moodle/,256,0,0
1664365981777,347,HTTP Request,200,OK,Thread Group 1-53,text,true,,24750,122,94,94,http://10.105.2.233/moodle/,276,0,0
1664365981604,521,HTTP Request,200,OK,Thread Group 1-18,text,true,,24750,122,93,93,http://10.105.2.233/moodle/,301,0,1
1664365981732,393,HTTP Request,200,OK,Thread Group 1-44,text,true,,24750,122,92,92,http://10.105.2.233/moodle/,165,0,1
1664365981641,503,HTTP Request,200,OK,Thread Group 1-26,text,true,,24750,122,95,95,http://10.105.2.233/moodle/,236,0,1
1664365981622,523,HTTP Request,200,OK,Thread Group 1-22,text,true,,24750,122,94,94,http://10.105.2.233/moodle/,253,0,1
1664365981567,578,HTTP Request,200,OK,Thread Group 1-11,text,true,,24750,122,93,93,http://10.105.2.233/moodle/,304,0,0
1664365981647,499,HTTP Request,200,OK,Thread Group 1-27,text,true,,24750,122,92,92,http://10.105.2.233/moodle/,234,0,0
1664365981677,470,HTTP Request,200,OK,Thread Group 1-33,text,true,,24750,122,92,92,http://10.105.2.233/moodle/,418,0,1
1664365981927,221,HTTP Request,200,OK,Thread Group 1-83,text,true,,24750,122,91,91,http://10.105.2.233/moodle/,179,0,1
1664365981746,402,HTTP Request,200,OK,Thread Group 1-47,text,true,,24750,122,90,90,http://10.105.2.233/moodle/,350,0,1
1664365981881,300,HTTP Request,200,OK,Thread Group 1-74,text,true,,24750,122,95,95,http://10.105.2.233/moodle/,182,0,4
1664365981792,441,HTTP Request,200,OK,Thread Group 1-56,text,true,,24750,122,105,105,http://10.105.2.233/moodle/,373,0,0
1664365981932,304,HTTP Request,200,OK,Thread Group 1-84,text,true,,24750,122,104,104,http://10.105.2.233/moodle/,229,0,0
1664365981821,415,HTTP Request,200,OK,Thread Group 1-62,text,true,,24750,122,104,104,http://10.105.2.233/moodle/,343,0,1
1664365981667,609,HTTP Request,200,OK,Thread Group 1-31,text,true,,24750,122,110,110,http://10.105.2.233/moodle/,489,0,0
1664365981712,595,HTTP Request,200,OK,Thread Group 1-40,text,true,,24750,122,116,116,http://10.105.2.233/moodle/,349,0,0
1664365981701,613,HTTP Request,200,OK,Thread Group 1-38,text,true,,24750,122,116,116,http://10.105.2.233/moodle/,342,0,1
1664365981697,644,HTTP Request,200,OK,Thread Group 1-37,text,true,,24750,122,120,120,http://10.105.2.233/moodle/,387,0,1
1664365981767,574,HTTP Request,200,OK,Thread Group 1-51,text,true,,24750,122,120,120,http://10.105.2.233/moodle/,518,0,0
1664365981743,692,HTTP Request,200,OK,Thread Group 1-46,text,true,,24750,122,137,137,http://10.105.2.233/moodle/,335,0,1
1664365981662,774,HTTP Request,200,OK,Thread Group 1-30,text,true,,24750,122,136,136,http://10.105.2.233/moodle/,424,0,1
1664365982142,295,HTTP Request,200,OK,Thread Group 1-126,text,true,,24750,122,136,136,http://10.105.2.233/moodle/,141,0,1
1664365981756,682,HTTP Request,200,OK,Thread Group 1-49,text,true,,24750,122,135,135,http://10.105.2.233/moodle/,531,0,1
1664365981719,719,HTTP Request,200,OK,Thread Group 1-41,text,true,,24750,122,134,134,http://10.105.2.233/moodle/,576,0,1
1664365981936,531,HTTP Request,200,OK,Thread Group 1-85,text,true,,24750,122,139,139,http://10.105.2.233/moodle/,357,0,1
1664365981996,471,HTTP Request,200,OK,Thread Group 1-97,text,true,,24750,122,138,138,http://10.105.2.233/moodle/,364,0,1
