timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1664596175130,84,HTTP Request,200,OK,Thread Group 1-2,text,true,,24695,120,10,10,http://10.105.2.113:8080/,51,0,1
1664596175120,94,HTTP Request,200,OK,Thread Group 1-1,text,true,,24695,120,9,9,http://10.105.2.113:8080/,60,0,1
1664596175150,79,HTTP Request,200,OK,Thread Group 1-4,text,true,,24695,120,9,9,http://10.105.2.113:8080/,46,0,1
1664596175140,89,HTTP Request,200,OK,Thread Group 1-3,text,true,,24695,120,8,8,http://10.105.2.113:8080/,59,0,1
1664596175169,77,HTTP Request,200,OK,Thread Group 1-6,text,true,,24695,120,9,9,http://10.105.2.113:8080/,47,0,1
1664596175159,88,HTTP Request,200,OK,Thread Group 1-5,text,true,,24695,120,8,8,http://10.105.2.113:8080/,56,0,1
1664596175180,82,HTTP Request,200,OK,Thread Group 1-7,text,true,,24695,120,9,9,http://10.105.2.113:8080/,55,0,2
1664596175190,89,HTTP Request,200,OK,Thread Group 1-8,text,true,,24695,120,9,9,http://10.105.2.113:8080/,58,0,1
1664596175200,82,HTTP Request,200,OK,Thread Group 1-9,text,true,,24695,120,9,9,http://10.105.2.113:8080/,51,0,0
1664596175210,85,HTTP Request,200,OK,Thread Group 1-10,text,true,,24695,120,9,9,http://10.105.2.113:8080/,53,0,1
1664596175230,82,HTTP Request,200,OK,Thread Group 1-12,text,true,,24695,120,10,10,http://10.105.2.113:8080/,57,0,0
1664596175224,89,HTTP Request,200,OK,Thread Group 1-11,text,true,,24695,120,9,9,http://10.105.2.113:8080/,56,0,0
1664596175240,140,HTTP Request,200,OK,Thread Group 1-13,text,true,,24695,120,14,14,http://10.105.2.113:8080/,59,0,1
1664596175250,130,HTTP Request,200,OK,Thread Group 1-14,text,true,,24695,120,14,14,http://10.105.2.113:8080/,51,0,1
1664596175279,116,HTTP Request,200,OK,Thread Group 1-17,text,true,,24695,120,14,14,http://10.105.2.113:8080/,53,0,1
1664596175260,136,HTTP Request,200,OK,Thread Group 1-15,text,true,,24695,120,13,13,http://10.105.2.113:8080/,57,0,1
1664596175269,127,HTTP Request,200,OK,Thread Group 1-16,text,true,,24695,120,12,12,http://10.105.2.113:8080/,54,0,1
1664596175290,139,HTTP Request,200,OK,Thread Group 1-18,text,true,,24695,120,14,14,http://10.105.2.113:8080/,107,0,0
1664596175299,131,HTTP Request,200,OK,Thread Group 1-19,text,true,,24695,120,14,14,http://10.105.2.113:8080/,100,0,1
1664596175330,115,HTTP Request,200,OK,Thread Group 1-22,text,true,,24695,120,14,14,http://10.105.2.113:8080/,90,0,0
1664596175310,144,HTTP Request,200,OK,Thread Group 1-20,text,true,,24695,120,14,14,http://10.105.2.113:8080/,109,0,0
1664596175320,159,HTTP Request,200,OK,Thread Group 1-21,text,true,,24695,120,15,15,http://10.105.2.113:8080/,117,0,0
